BUSINESS_NAME,PHONE,EMAIL,CITY,ADDRESS,REVIEWS,WEBSITE
"Chodaba Electric LLC in Jersey City , NJ",+1 201-344-2557,Not found,Jersey City,"2 Magnolia Ave, Jersey City, NJ 07306, United States",273,http://www.chodabaelectricllc.com/
Malfettone Electric,+1 201-600-7121,example@domain.com,Jersey City,"278 7th St, Jersey City, NJ 07302, United States",99,https://www.malfettoneelectric.com/
Edison Electricians of Jersey City,+1 862-415-0803,Not found,Jersey City,"111 Town Square Pl Ste 201, Jersey City, NJ 07310, United States",26,https://360electricians.com/Jersey-City
Phoenex Electric LLC,+1 646-579-5963,Vinnyb@phoenexelectric.com,Jersey City,"924 Bergen Ave #216, Jersey City, NJ 07306, United States",94,http://www.phoenexelectric.com/
Haddad Electric LLC,+1 201-438-4242,info@haddadelectricnj.com,Jersey City,"206 Zabriskie St, Jersey City, NJ 07307, United States",19,https://www.haddadelectricnj.com/
Deen Electrical Contractors Inc.,+1 201-432-1141,deen@deenelectric.com,Jersey City,"34 Orchard St, Jersey City, NJ 07306, United States",13,http://www.deenelectric.com/
Aerial Electric,+1 973-791-4828,Not found,Jersey City,"4 Beacon Way, Jersey City, NJ 07304, United States",38,http://t-and-t-electricalrepairservice.com/Jersey-City
Sal Electric Co Inc,+1 201-798-4406,info@salelectric.com,Jersey City,"83 Fleet St, Jersey City, NJ 07306, United States",8,http://www.salelectric.com/
Matrix Service,+1 201-762-1131,Not found,Jersey City,"Duffield Ave, Jersey City, NJ 07306, United States",37,http://highvoltage-electrical.com/jersey-City
"C. Pritchett Electric, LLC",+1 201-744-8946,Not found,,,24,
ANJ Electric Contractors,+1 201-388-0588,Not found,Jersey City,"Jersey City, NJ 07302, United States",2,
Skylighter Electrical Contractor,+1 201-240-5569,skylighterinc@gmail.com,,,77,http://www.skylighterelectric.com/
"Positive Flow Electric, Inc.",,Not found,Jersey City,"39 Manhattan Ave, Jersey City, NJ 07307, United States",5,
K G S Electrical Contractors Inc,+1 201-435-0547,Not found,Jersey City,"118 Roosevelt Ave, Jersey City, NJ 07304, United States",1,
